gene,Ensembl_ID,lfc_DEG1,padj_DEG1,lfc_DEG2,padj_DEG2,lfc_DEG3,padj_DEG3,lfc_DEG4,padj_DEG4
Fgf6,ENSMUSG00000000183,2.5144812353534,2.05510395049478e-11,NA,NA,NA,NA,NA,NA
Drp2,ENSMUSG00000000223,2.01132281398509,1.93365597098079e-12,NA,NA,NA,NA,NA,NA
Ckmt1,ENSMUSG00000000308,4.8264261112052,3.52763015463602e-19,NA,NA,3.20697201961367,1.94067823306527e-08,NA,NA
Rnf17,ENSMUSG00000000365,2.06089844787691,1.06376655396886e-07,NA,NA,NA,NA,NA,NA
Loxl3,ENSMUSG00000000693,2.15922223053542,3.93302777963718e-68,NA,NA,2.13511195347247,2.32449969285547e-65,NA,NA
Dbh,ENSMUSG00000000889,-3.42123297070207,4.51709693715901e-36,2.26942638785801,3.08953179331583e-16,NA,NA,NA,NA
Ccl3,ENSMUSG00000000982,2.3206223140817,2.07902140290931e-05,NA,NA,NA,NA,NA,NA
Scn4a,ENSMUSG00000001027,-2.45217566060887,1.14738802732258e-11,NA,NA,NA,NA,NA,NA
Sebox,ENSMUSG00000001103,-3.58825189474422,0.00153936941940377,NA,NA,NA,NA,NA,NA
Timp1,ENSMUSG00000001131,4.37370570501766,1.61253880558351e-40,NA,NA,2.6969706575044,1.82072271872518e-15,NA,NA
Nrip2,ENSMUSG00000001520,2.04858440588175,1.39470916187357e-35,NA,NA,NA,NA,NA,NA
Folr1,ENSMUSG00000001827,3.94433143786569,4.92478878269331e-05,NA,NA,3.38960397791993,0.000959438590285439,NA,NA
Ltbp2,ENSMUSG00000002020,3.79868873148575,1.131534528532e-81,NA,NA,3.6475873764717,3.32715528189592e-74,NA,NA
Spag5,ENSMUSG00000002055,2.04068786827281,4.40102524712936e-14,NA,NA,NA,NA,NA,NA
Rpl3l,ENSMUSG00000002500,-2.85516765180539,8.81602154011508e-110,NA,NA,NA,NA,NA,NA
Arrdc2,ENSMUSG00000002910,-2.24611087264886,6.37373612063716e-15,NA,NA,NA,NA,NA,NA
Crhr2,ENSMUSG00000003476,-2.50437776788955,8.8772221718088e-46,NA,NA,NA,NA,NA,NA
Inmt,ENSMUSG00000003477,-2.07269127972073,0.000277391315176648,2.66465855559693,8.43923562762323e-07,NA,NA,NA,NA
Has1,ENSMUSG00000003665,3.84025707599056,2.24361840400354e-09,-3.04590625742981,8.62942883495294e-08,NA,NA,NA,NA
Efnb3,ENSMUSG00000003934,-3.95718418240089,6.2971599668724e-150,2.38670775852248,1.50101689767085e-58,NA,NA,NA,NA
Hlf,ENSMUSG00000003949,-2.0386442816602,5.26491764785974e-09,NA,NA,NA,NA,NA,NA
Il11,ENSMUSG00000004371,2.07374183773222,2.72408725436119e-05,NA,NA,NA,NA,NA,NA
Col26a1,ENSMUSG00000004415,2.29228300553461,3.19629292651782e-10,NA,NA,2.27656631579814,1.02352721855913e-09,NA,NA
Bid,ENSMUSG00000004446,2.85901361550384,6.09519169807006e-32,NA,NA,NA,NA,NA,NA
Crabp2,ENSMUSG00000004885,3.51254519037508,0.00127269190033628,NA,NA,NA,NA,NA,NA
Nmrk2,ENSMUSG00000004939,8.32306192092275,3.36727412516912e-70,-5.51103934343858,2.22119420946682e-34,2.81202257748417,1.6054731259156e-08,NA,NA
Cstb,ENSMUSG00000005054,2.45993825636172,1.1746259619157e-119,NA,NA,NA,NA,NA,NA
Slc1a3,ENSMUSG00000005360,2.00954874522269,5.32365193329494e-37,NA,NA,NA,NA,NA,NA
